WAERS,ERDAT,UKURS
USD,201909,31.14 
USD,201910,30.73 
USD,201911,30.48 
USD,201912,30.33 
USD,202001,30.05 
USD,202002,30.19 
USD,202003,30.21 
USD,202004,30.09 
USD,202005,29.96 
USD,202006,29.75 
USD,202007,29.56 
USD,202008,29.52 
USD,202009,29.36 
USD,202010,28.93 
USD,202011,28.84 
USD,202012,28.54 
USD,202101,28.43 
USD,202102,28.35 
USD,202103,28.39 
USD,202104,28.26 
USD,202105,27.92 
USD,202106,27.80 
USD,202107,28.00 
USD,202108,27.88 
USD,202109,27.74 
USD,202110,27.95 
USD,202111,27.82 
USD,202112,27.76 
USD,202201,27.68 
USD,202202,27.88 
USD,202203,28.44 
USD,202204,29.15 
USD,202205,29.60 
USD,202206,29.63 
USD,202207,29.87 
USD,202208,30.09 
USD,202209,31.24 
USD,202210,31.97 
USD,202211,31.46 
JPY,201909,0.29 
JPY,201910,0.28 
JPY,201911,0.28 
JPY,201912,0.28 
JPY,202001,0.27 
JPY,202002,0.27 
JPY,202003,0.28 
JPY,202004,0.28 
JPY,202005,0.28 
JPY,202006,0.28 
JPY,202007,0.28 
JPY,202008,0.28 
JPY,202009,0.28 
JPY,202010,0.27 
JPY,202011,0.28 
JPY,202012,0.27 
JPY,202101,0.27 
JPY,202102,0.27 
JPY,202103,0.26 
JPY,202104,0.26 
JPY,202105,0.26 
JPY,202106,0.25 
JPY,202107,0.25 
JPY,202108,0.25 
JPY,202109,0.25 
JPY,202110,0.25 
JPY,202111,0.24 
JPY,202112,0.24 
JPY,202201,0.24 
JPY,202202,0.24 
JPY,202203,0.24 
JPY,202204,0.23 
JPY,202205,0.23 
JPY,202206,0.22 
JPY,202207,0.22 
JPY,202208,0.22 
JPY,202209,0.22 
JPY,202210,0.22 
JPY,202211,0.22 
EUR,201909,34.27 
EUR,201910,33.97 
EUR,201911,33.68 
EUR,201912,33.70 
EUR,202001,33.35 
EUR,202002,32.92 
EUR,202003,33.42 
EUR,202004,32.68 
EUR,202005,32.66 
EUR,202006,33.49 
EUR,202007,33.89 
EUR,202008,34.92 
EUR,202009,34.62 
EUR,202010,34.07 
EUR,202011,34.15 
EUR,202012,34.73 
EUR,202101,34.60 
EUR,202102,34.30 
EUR,202103,33.78 
EUR,202104,33.85 
EUR,202105,33.91 
EUR,202106,33.49 
EUR,202107,33.10 
EUR,202108,32.82 
EUR,202109,32.65 
EUR,202110,32.42 
EUR,202111,31.75 
EUR,202112,31.38 
EUR,202201,31.31 
EUR,202202,31.62 
EUR,202203,31.34 
EUR,202204,31.54 
EUR,202205,31.31 
EUR,202206,31.31 
EUR,202207,30.40 
EUR,202208,30.47 
EUR,202209,30.94 
EUR,202210,31.41 
EUR,202211,32.07 
TWD,201909,1.00 
TWD,201910,1.00 
TWD,201911,1.00 
TWD,201912,1.00 
TWD,202001,1.00 
TWD,202002,1.00 
TWD,202003,1.00 
TWD,202004,1.00 
TWD,202005,1.00 
TWD,202006,1.00 
TWD,202007,1.00 
TWD,202008,1.00 
TWD,202009,1.00 
TWD,202010,1.00 
TWD,202011,1.00 
TWD,202012,1.00 
TWD,202101,1.00 
TWD,202102,1.00 
TWD,202103,1.00 
TWD,202104,1.00 
TWD,202105,1.00 
TWD,202106,1.00 
TWD,202107,1.00 
TWD,202108,1.00 
TWD,202109,1.00 
TWD,202110,1.00 
TWD,202111,1.00 
TWD,202112,1.00 
TWD,202201,1.00 
TWD,202202,1.00 
TWD,202203,1.00 
TWD,202204,1.00 
TWD,202205,1.00 
TWD,202206,1.00 
TWD,202207,1.00 
TWD,202208,1.00 
TWD,202209,1.00 
TWD,202210,1.00 
TWD,202211,1.00 
