,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,-0.07698276595773929,0.09918525304731884,,-0.022346473679056726,-0.010217778728016656,0.14132572428453277,0.9584743293160505,0.008484080453375958,0.03595930680343758,0.551847957644916,0.5135161435130282
MATNR,-0.07698276595773929,1.0,-0.09274033376922598,,0.015358013822958257,-0.02574263271610485,0.13668863575474005,-0.07286645663567733,0.1089492311426585,0.0061493774828838945,-0.06156181456768342,-0.05923696337316312
TYPE,0.09918525304731884,-0.09274033376922598,1.0,,0.0020600140563144303,0.005168442569786739,0.08251145819536573,0.0911019666952419,0.02724005233668505,-0.07998962989816366,0.07866566076338667,0.08185834345527374
VKORG,,,,,,,,,,,,
UKURS,-0.022346473679056726,0.015358013822958257,0.0020600140563144303,,1.0,0.08290910606007434,-0.2367002651541978,-0.03775187052743611,-0.047685389684335014,-0.07717393954684038,-0.12805173752547283,-0.1475007939243368
MATKL,-0.010217778728016656,-0.02574263271610485,0.005168442569786739,,0.08290910606007434,1.0,-0.01813329723533839,-0.005421438082509128,-0.4185492133508832,0.010927395750362383,-0.006856230622450294,-0.00561872185171962
KUNNR,0.14132572428453277,0.13668863575474005,0.08251145819536573,,-0.2367002651541978,-0.01813329723533839,1.0,0.1445478773699013,0.10257867249074723,-0.034269333364503725,0.10608952230064181,0.10572695142595667
ERDAT,0.9584743293160505,-0.07286645663567733,0.0911019666952419,,-0.03775187052743611,-0.005421438082509128,0.1445478773699013,1.0,0.005148678897045547,0.03434461868752081,0.5862529339131014,0.5618146913736337
UNIT,0.008484080453375958,0.1089492311426585,0.02724005233668505,,-0.047685389684335014,-0.4185492133508832,0.10257867249074723,0.005148678897045547,1.0,-0.02095875625159525,0.024550128869774875,0.030454787406246023
MENGE,0.03595930680343758,0.0061493774828838945,-0.07998962989816366,,-0.07717393954684038,0.010927395750362383,-0.034269333364503725,0.03434461868752081,-0.02095875625159525,1.0,0.001993328691294562,-0.007787249057363056
YOY,0.551847957644916,-0.06156181456768342,0.07866566076338667,,-0.12805173752547283,-0.006856230622450294,0.10608952230064181,0.5862529339131014,0.024550128869774875,0.001993328691294562,1.0,0.9716943336236332
EAGRT,0.5135161435130282,-0.05923696337316312,0.08185834345527374,,-0.1475007939243368,-0.00561872185171962,0.10572695142595667,0.5618146913736337,0.030454787406246023,-0.007787249057363056,0.9716943336236332,1.0
